user_query,intent,response,source,timestamp,drift_tag
why was I charged twice,billing,auto-response for billing,synthetic,2025-02-11,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-02-12,clean
track order #3287,order_status,auto-response for order_status,synthetic,2025-02-13,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-02-14,clean
money back please,refund,auto-response for refund,synthetic,2025-02-15,clean
money back please,refund,auto-response for refund,synthetic,2025-02-16,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-02-17,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-02-18,clean
I want a refund,refund,auto-response for refund,synthetic,2025-02-19,clean
reset my password,account,auto-response for account,synthetic,2025-02-20,clean
question about my bill,billing,auto-response for billing,synthetic,2025-02-21,clean
update email on account,account,auto-response for account,synthetic,2025-02-22,clean
return policy,refund,auto-response for refund,synthetic,2025-02-23,clean
track order #9669,order_status,auto-response for order_status,synthetic,2025-02-24,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-02-25,clean
reset my password,account,auto-response for account,synthetic,2025-02-26,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-02-27,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-02-28,clean
close my account,account,auto-response for account,synthetic,2025-03-01,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-03-02,clean
track order #1053,order_status,auto-response for order_status,synthetic,2025-03-03,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-03-04,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-03-05,clean
close my account,account,auto-response for account,synthetic,2025-03-06,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-03-07,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-03-08,clean
I want a refund,refund,auto-response for refund,synthetic,2025-03-09,clean
question about my bill,billing,auto-response for billing,synthetic,2025-03-10,clean
money back please,refund,auto-response for refund,synthetic,2025-03-11,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-03-12,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-03-13,clean
hey,greeting,auto-response for greeting,synthetic,2025-03-14,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-03-15,clean
question about my bill,billing,auto-response for billing,synthetic,2025-03-16,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-03-17,clean
good morning,greeting,auto-response for greeting,synthetic,2025-03-18,clean
close my account,account,auto-response for account,synthetic,2025-03-19,clean
reset my password,account,auto-response for account,synthetic,2025-03-20,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-03-21,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-03-22,clean
update email on account,account,auto-response for account,synthetic,2025-03-23,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-03-24,clean
close my account,account,auto-response for account,synthetic,2025-03-25,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-03-26,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-03-27,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-03-28,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-03-29,clean
hello there,greeting,auto-response for greeting,synthetic,2025-03-30,clean
hi,greeting,auto-response for greeting,synthetic,2025-03-31,clean
I want a refund,refund,auto-response for refund,synthetic,2025-04-01,clean
I want a refund,refund,auto-response for refund,synthetic,2025-04-02,clean
hi,greeting,auto-response for greeting,synthetic,2025-04-03,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-04,clean
reset my password,account,auto-response for account,synthetic,2025-04-05,clean
return policy,refund,auto-response for refund,synthetic,2025-04-06,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-04-07,clean
money back please,refund,auto-response for refund,synthetic,2025-04-08,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-04-09,clean
I want a refund,refund,auto-response for refund,synthetic,2025-04-10,clean
update email on account,account,auto-response for account,synthetic,2025-04-11,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-12,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-04-13,clean
track order #1887,order_status,auto-response for order_status,synthetic,2025-04-14,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-04-15,clean
good morning,greeting,auto-response for greeting,synthetic,2025-04-16,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-04-17,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-18,clean
I want a refund,refund,auto-response for refund,synthetic,2025-04-19,clean
track order #8579,order_status,auto-response for order_status,synthetic,2025-04-20,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-21,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-04-22,clean
hi,greeting,auto-response for greeting,synthetic,2025-04-23,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-04-24,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-04-25,clean
track order #1960,order_status,auto-response for order_status,synthetic,2025-04-26,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-27,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-04-28,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-04-29,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-04-30,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-05-01,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-05-02,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-05-03,clean
question about my bill,billing,auto-response for billing,synthetic,2025-05-04,clean
money back please,refund,auto-response for refund,synthetic,2025-05-05,clean
hey,greeting,auto-response for greeting,synthetic,2025-05-06,clean
good morning,greeting,auto-response for greeting,synthetic,2025-05-07,clean
money back please,refund,auto-response for refund,synthetic,2025-05-08,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-09,clean
hello there,greeting,auto-response for greeting,synthetic,2025-05-10,clean
hi,greeting,auto-response for greeting,synthetic,2025-05-11,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-05-12,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-05-13,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-14,clean
hi,greeting,auto-response for greeting,synthetic,2025-05-15,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-05-16,clean
return policy,refund,auto-response for refund,synthetic,2025-05-17,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-05-18,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-05-19,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-05-20,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-21,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-05-22,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-05-23,clean
hi,greeting,auto-response for greeting,synthetic,2025-05-24,clean
hello there,greeting,auto-response for greeting,synthetic,2025-05-25,clean
I want a refund,refund,auto-response for refund,synthetic,2025-05-26,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-05-27,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-05-28,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-05-29,clean
close my account,account,auto-response for account,synthetic,2025-05-30,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-05-31,clean
money back please,refund,auto-response for refund,synthetic,2025-06-01,clean
update email on account,account,auto-response for account,synthetic,2025-06-02,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-06-03,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-06-04,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-06-05,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-06-06,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-06-07,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-06-08,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-06-09,clean
close my account,account,auto-response for account,synthetic,2025-06-10,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-06-11,clean
good morning,greeting,auto-response for greeting,synthetic,2025-06-12,clean
reset my password,account,auto-response for account,synthetic,2025-06-13,clean
hello there,greeting,auto-response for greeting,synthetic,2025-06-14,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-15,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-06-16,clean
return policy,refund,auto-response for refund,synthetic,2025-06-17,clean
I want a refund,refund,auto-response for refund,synthetic,2025-06-18,clean
hello there,greeting,auto-response for greeting,synthetic,2025-06-19,clean
return policy,refund,auto-response for refund,synthetic,2025-06-20,clean
I want a refund,refund,auto-response for refund,synthetic,2025-06-21,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-06-22,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-06-23,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-06-24,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-06-25,clean
good morning,greeting,auto-response for greeting,synthetic,2025-06-26,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-06-27,clean
question about my bill,billing,auto-response for billing,synthetic,2025-06-28,clean
reset my password,account,auto-response for account,synthetic,2025-06-29,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-01-01,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-02,clean
update email on account,account,auto-response for account,synthetic,2025-01-03,clean
close my account,account,auto-response for account,synthetic,2025-01-04,clean
update email on account,account,auto-response for account,synthetic,2025-01-05,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-06,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-07,clean
reset my password,account,auto-response for account,synthetic,2025-01-08,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-09,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-01-10,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-11,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-12,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-01-13,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-14,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-01-15,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-01-16,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-01-17,clean
hey,greeting,auto-response for greeting,synthetic,2025-01-18,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-19,clean
good morning,greeting,auto-response for greeting,synthetic,2025-01-20,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-01-21,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-01-22,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-23,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-01-24,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-01-25,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-01-26,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-01-27,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-01-28,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-01-29,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-30,clean
money back please,refund,auto-response for refund,synthetic,2025-01-31,clean
close my account,account,auto-response for account,synthetic,2025-02-01,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-02-02,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-02-03,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-02-04,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-02-05,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-02-06,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-02-07,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-02-08,clean
return policy,refund,auto-response for refund,synthetic,2025-02-09,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-02-10,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-02-11,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-02-12,clean
return policy,refund,auto-response for refund,synthetic,2025-02-13,clean
track order #4501,order_status,auto-response for order_status,synthetic,2025-02-14,clean
money back please,refund,auto-response for refund,synthetic,2025-02-15,clean
question about my bill,billing,auto-response for billing,synthetic,2025-02-16,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-02-17,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-02-18,clean
hello there,greeting,auto-response for greeting,synthetic,2025-02-19,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-02-20,clean
reset my password,account,auto-response for account,synthetic,2025-02-21,clean
hello there,greeting,auto-response for greeting,synthetic,2025-02-22,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-02-23,clean
reset my password,account,auto-response for account,synthetic,2025-02-24,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-02-25,clean
money back please,refund,auto-response for refund,synthetic,2025-02-26,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-02-27,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-02-28,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-03-01,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-03-02,clean
reset my password,account,auto-response for account,synthetic,2025-03-03,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-03-04,clean
I want a refund,refund,auto-response for refund,synthetic,2025-03-05,clean
I want a refund,refund,auto-response for refund,synthetic,2025-03-06,clean
track order #9702,order_status,auto-response for order_status,synthetic,2025-03-07,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-03-08,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-03-09,clean
money back please,refund,auto-response for refund,synthetic,2025-03-10,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-03-11,clean
close my account,account,auto-response for account,synthetic,2025-03-12,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-03-13,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-03-14,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-03-15,clean
update email on account,account,auto-response for account,synthetic,2025-03-16,clean
close my account,account,auto-response for account,synthetic,2025-03-17,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-03-18,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-03-19,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-03-20,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-03-21,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-03-22,clean
question about my bill,billing,auto-response for billing,synthetic,2025-03-23,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-03-24,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-03-25,clean
track order #9890,order_status,auto-response for order_status,synthetic,2025-03-26,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-03-27,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-03-28,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-03-29,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-03-30,clean
close my account,account,auto-response for account,synthetic,2025-03-31,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-04-01,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-04-02,clean
update email on account,account,auto-response for account,synthetic,2025-04-03,clean
money back please,refund,auto-response for refund,synthetic,2025-04-04,clean
money back please,refund,auto-response for refund,synthetic,2025-04-05,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-04-06,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-04-07,clean
track order #6507,order_status,auto-response for order_status,synthetic,2025-04-08,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-04-09,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-04-10,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-04-11,clean
return policy,refund,auto-response for refund,synthetic,2025-04-12,clean
money back please,refund,auto-response for refund,synthetic,2025-04-13,clean
good morning,greeting,auto-response for greeting,synthetic,2025-04-14,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-04-15,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-04-16,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-04-17,clean
track order #7211,order_status,auto-response for order_status,synthetic,2025-04-18,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-04-19,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-04-20,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-04-21,clean
return policy,refund,auto-response for refund,synthetic,2025-04-22,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-23,clean
close my account,account,auto-response for account,synthetic,2025-04-24,clean
hi,greeting,auto-response for greeting,synthetic,2025-04-25,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-04-26,clean
close my account,account,auto-response for account,synthetic,2025-04-27,clean
question about my bill,billing,auto-response for billing,synthetic,2025-04-28,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-04-29,clean
I want a refund,refund,auto-response for refund,synthetic,2025-04-30,clean
track order #7043,order_status,auto-response for order_status,synthetic,2025-05-01,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-02,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-05-03,clean
hello there,greeting,auto-response for greeting,synthetic,2025-05-04,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-05-05,clean
return policy,refund,auto-response for refund,synthetic,2025-05-06,clean
return policy,refund,auto-response for refund,synthetic,2025-05-07,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-05-08,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-09,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-05-10,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-11,clean
close my account,account,auto-response for account,synthetic,2025-05-12,clean
I want a refund,refund,auto-response for refund,synthetic,2025-05-13,clean
close my account,account,auto-response for account,synthetic,2025-05-14,clean
update email on account,account,auto-response for account,synthetic,2025-05-15,clean
money back please,refund,auto-response for refund,synthetic,2025-05-16,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-05-17,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-05-18,clean
update email on account,account,auto-response for account,synthetic,2025-05-19,clean
hey,greeting,auto-response for greeting,synthetic,2025-05-20,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-05-21,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-05-22,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-05-23,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-05-24,clean
money back please,refund,auto-response for refund,synthetic,2025-05-25,clean
update email on account,account,auto-response for account,synthetic,2025-05-26,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-05-27,clean
return policy,refund,auto-response for refund,synthetic,2025-05-28,clean
reset my password,account,auto-response for account,synthetic,2025-05-29,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-05-30,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-05-31,clean
money back please,refund,auto-response for refund,synthetic,2025-06-01,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-06-02,clean
track order #3979,order_status,auto-response for order_status,synthetic,2025-06-03,clean
track order #5232,order_status,auto-response for order_status,synthetic,2025-06-04,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-06-05,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-06,clean
money back please,refund,auto-response for refund,synthetic,2025-06-07,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-06-08,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-06-09,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-06-10,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-06-11,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-12,clean
reset my password,account,auto-response for account,synthetic,2025-06-13,clean
api authentication help,api_help,auto-response for api_help,synthetic,2025-06-14,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-15,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-16,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-06-17,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-06-18,clean
return policy,refund,auto-response for refund,synthetic,2025-06-19,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-20,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-06-21,clean
hello there,greeting,auto-response for greeting,synthetic,2025-06-22,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-06-23,clean
money back please,refund,auto-response for refund,synthetic,2025-06-24,clean
question about my bill,billing,auto-response for billing,synthetic,2025-06-25,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-06-26,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-06-27,clean
I want a refund,refund,auto-response for refund,synthetic,2025-06-28,clean
update email on account,account,auto-response for account,synthetic,2025-06-29,clean
question about my bill,billing,auto-response for billing,synthetic,2025-01-01,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-01-02,clean
return policy,refund,auto-response for refund,synthetic,2025-01-03,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-04,clean
money back please,refund,auto-response for refund,synthetic,2025-01-05,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-01-06,clean
update email on account,account,auto-response for account,synthetic,2025-01-07,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-08,clean
return policy,refund,auto-response for refund,synthetic,2025-01-09,clean
track order #4020,order_status,auto-response for order_status,synthetic,2025-01-10,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-11,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-12,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-13,clean
where is my order,order_status,auto-response for order_status,synthetic,2025-01-14,clean
money back please,refund,auto-response for refund,synthetic,2025-01-15,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-16,clean
update email on account,account,auto-response for account,synthetic,2025-01-17,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-18,clean
good morning,greeting,auto-response for greeting,synthetic,2025-01-19,clean
money back please,refund,auto-response for refund,synthetic,2025-01-20,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-21,clean
track order #5871,order_status,auto-response for order_status,synthetic,2025-01-22,clean
update email on account,account,auto-response for account,synthetic,2025-01-23,clean
webhook setup,api_help,auto-response for api_help,synthetic,2025-01-24,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-25,clean
app keeps crashing,technical_support,auto-response for technical_support,synthetic,2025-01-26,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-01-27,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-01-28,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-29,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-30,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-01-31,clean
return policy,refund,auto-response for refund,synthetic,2025-02-01,clean
hey,greeting,auto-response for greeting,synthetic,2025-02-02,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-02-03,clean
reset my password,account,auto-response for account,synthetic,2025-02-04,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-02-05,clean
close my account,account,auto-response for account,synthetic,2025-02-06,clean
I want a refund,refund,auto-response for refund,synthetic,2025-02-07,clean
has my package shipped,order_status,auto-response for order_status,synthetic,2025-02-08,clean
question about my bill,billing,auto-response for billing,synthetic,2025-02-09,clean
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-01-01,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-02,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-03,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-01-04,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-01-05,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-01-06,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-07,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-08,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-01-09,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-10,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-11,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-12,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-01-13,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-14,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-01-15,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-16,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-17,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-01-18,clean_web
